VGS,BLOOD,LGD,pg/l,Value
-7.159,5.47E-04,4,0.07,-1.43342
-7.77776,5.24E-04,4,0.07,-1.02388
-8.17573,5.15E-04,4,0.07,-1.13173
-8.24394,5.13E-04,4,0.07,5.13E-04
-8.44531,5.11E-04,4,0.07,5.11E-04
-8.53464,5.07E-04,4,0.07,5.07E-04
-8.37711,4.94E-04,4,0.07,4.94E-04
-8.31052,4.90E-04,4,0.07,4.90E-04
-8.39984,4.88E-04,4,0.07,4.88E-04
-8.4778,4.85E-04,4,0.07,4.85E-04
-8.5,4.85E-04,4,0.07,4.85E-04
-9,4.85E-04,4,0.07,4.85E-04
-9.5,4.85E-04,4,0.07,4.85E-04
2,203.65344,4,0.09,141.65344
1.5,200.6156,4,0.09,138.6156
1,197.03526,4,0.09,135.03526
0.5,192.75048,4,0.09,130.75048
-1.84E-16,187.52835,4,0.09,125.52835
-0.5,181.01135,4,0.09,119.01135
-1,172.65369,4,0.09,110.65369
-1.5,161.54749,4,0.09,99.54749
-2,146.19992,4,0.09,84.19992
-2.5,124.81414,4,0.09,62.81414
-3,98.44077,4,0.09,36.44077
-3.36856,71.87621,4,0.09,15.25915
-3.4969,59.43856,4,0.09,11.88152
-3.58027,47.77702,4,0.09,7.75223
-3.74701,27.27333,4,0.09,4.07357
-3.9024,11.35195,4,0.09,1.25357
-4.07011,5.5463,4,0.09,0.28465
-4.58629,1.65022,4,0.09,-1.92287
-5.22784,0.08879,4,0.09,-2.95171
-5.63166,0.00537,4,0.09,-3.37124
-6.36114,8.43E-04,4,0.09,-2.74195
-7.159,5.47E-04,4,0.09,-1.92287
-7.77776,5.24E-04,4,0.09,-1.57326
-8.17573,5.15E-04,4,0.09,-1.81413
-8.24394,5.13E-04,4,0.09,5.13E-04
-8.44531,5.11E-04,4,0.09,5.11E-04
-8.53464,5.07E-04,4,0.09,5.07E-04
-8.37711,4.94E-04,4,0.09,4.94E-04
-8.31052,4.90E-04,4,0.09,4.90E-04
-8.39984,4.88E-04,4,0.09,4.88E-04
-8.4778,4.85E-04,4,0.09,4.85E-04
-8.5,4.85E-04,4,0.09,4.85E-04
-9,4.85E-04,4,0.09,4.85E-04
-9.5,4.85E-04,4,0.09,4.85E-04
2,203.65344,4,0.1,135.65344
1.5,200.6156,4,0.1,132.6156
1,197.03526,4,0.1,129.03526
0.5,192.75048,4,0.1,124.75048
-1.84E-16,187.52835,4,0.1,119.52835
-0.5,181.01135,4,0.1,113.01135
-1,172.65369,4,0.1,104.65369
-1.5,161.54749,4,0.1,93.54749
-2,146.19992,4,0.1,78.19992
-2.5,124.81414,4,0.1,56.81414
-3,98.44077,4,0.1,30.44077
-3.36856,71.87621,4,0.1,12.38733
-3.4969,59.43856,4,0.1,8.89261
-3.58027,47.77702,4,0.1,5.65539
-3.74701,27.27333,4,0.1,2.29862
-3.9024,11.35195,4,0.1,0.07489
-4.07011,5.5463,4,0.1,-1.16372
-4.58629,1.65022,4,0.1,-2.81187
-5.22784,0.08879,4,0.1,-3.8507
-5.63166,0.00537,4,0.1,-4.19032
-6.36114,8.43E-04,4,0.1,-3.78078
-7.159,5.47E-04,4,0.1,-2.81187
-7.77776,5.24E-04,4,0.1,-2.19257
-8.17573,5.15E-04,4,0.1,-2.03634
-8.24394,5.13E-04,4,0.1,-1.24635
-8.44531,5.11E-04,4,0.1,-1.10083
-8.53464,5.07E-04,4,0.1,-0.0302
-8.37711,4.94E-04,4,0.1,-0.38361
-8.31052,4.90E-04,4,0.1,-0.74742
-8.39984,4.88E-04,4,0.1,-0.67466
-8.4778,4.85E-04,4,0.1,-0.52913
-8.5,4.85E-04,4,0.1,4.85E-04
-9,4.85E-04,4,0.1,4.85E-04
-9.5,4.85E-04,4,0.1,4.85E-04
